id,strategy,date,total,passed,profitRate,year,month
344,GrowSpeed,2008/8/16 0:00,7,0,-0.23,2008,8
345,GrowSpeed,2008/9/15 0:00,6,3,-0.08,2008,9
346,GrowSpeed,2008/10/15 0:00,8,1,-0.15,2008,10
347,GrowSpeed,2008/11/14 0:00,7,3,-0.04,2008,11
348,GrowSpeed,2008/12/14 0:00,9,5,-0.01,2008,12
349,GrowSpeed,2009/1/13 0:00,9,9,0.18,2009,1
350,GrowSpeed,2009/2/12 0:00,9,3,-0.02,2009,2
351,GrowSpeed,2009/3/14 0:00,9,9,0.25,2009,3
352,GrowSpeed,2009/4/13 0:00,9,4,-0.08,2009,4
353,GrowSpeed,2009/5/13 0:00,9,2,-0.17,2009,5
354,GrowSpeed,2009/6/12 0:00,9,9,0.11,2009,6
355,GrowSpeed,2009/7/12 0:00,9,7,0.03,2009,7
356,GrowSpeed,2009/8/11 0:00,9,1,-0.12,2009,8
357,GrowSpeed,2009/9/10 0:00,9,2,-0.04,2009,9
358,GrowSpeed,2009/10/10 0:00,9,9,0.21,2009,10
359,GrowSpeed,2009/11/9 0:00,9,6,0.1,2009,11
360,GrowSpeed,2009/12/9 0:00,9,1,-0.06,2009,12
361,GrowSpeed,2010/1/8 0:00,9,2,-0.06,2010,1
362,GrowSpeed,2010/2/7 0:00,9,7,0.06,2010,2
363,GrowSpeed,2010/3/9 0:00,9,6,0.08,2010,3
364,GrowSpeed,2010/4/8 0:00,9,0,-0.17,2010,4
365,GrowSpeed,2010/5/8 0:00,9,4,0.03,2010,5
366,GrowSpeed,2010/6/7 0:00,9,0,-0.13,2010,6
367,GrowSpeed,2010/7/7 0:00,9,9,0.09,2010,7
368,GrowSpeed,2010/8/6 0:00,9,7,0.18,2010,8
369,GrowSpeed,2010/9/5 0:00,9,0,-0.11,2010,9
370,GrowSpeed,2010/10/5 0:00,9,7,0.09,2010,10
371,GrowSpeed,2010/11/4 0:00,9,2,-0.08,2010,11
372,GrowSpeed,2010/12/4 0:00,8,2,-0.01,2010,12
373,GrowSpeed,2011/1/3 0:00,8,2,-0.13,2011,1
374,GrowSpeed,2011/2/2 0:00,9,3,0.02,2011,2
375,GrowSpeed,2011/3/4 0:00,8,4,0.01,2011,3
376,GrowSpeed,2011/4/3 0:00,8,4,-0.03,2011,4
377,GrowSpeed,2011/5/3 0:00,8,1,-0.26,2011,5
378,GrowSpeed,2011/6/2 0:00,8,2,-0.09,2011,6
379,GrowSpeed,2011/7/2 0:00,8,5,0.06,2011,7
380,GrowSpeed,2011/8/1 0:00,8,1,-0.09,2011,8
381,GrowSpeed,2011/8/31 0:00,8,0,-0.17,2011,8
382,GrowSpeed,2011/9/30 0:00,8,3,-0.01,2011,9
383,GrowSpeed,2011/10/30 0:00,8,2,-0.06,2011,10
384,GrowSpeed,2011/11/29 0:00,8,0,-0.25,2011,11
385,GrowSpeed,2011/12/29 0:00,8,2,0.03,2011,12
386,GrowSpeed,2012/1/28 0:00,8,8,0.11,2012,1
387,GrowSpeed,2012/2/27 0:00,8,2,-0.07,2012,2
388,GrowSpeed,2012/3/28 0:00,8,3,-0.02,2012,3
389,GrowSpeed,2012/4/27 0:00,8,4,0.02,2012,4
390,GrowSpeed,2012/5/27 0:00,8,3,-0.08,2012,5
391,GrowSpeed,2012/6/26 0:00,8,2,-0.01,2012,6
392,GrowSpeed,2012/7/26 0:00,8,2,-0.04,2012,7
393,GrowSpeed,2012/8/25 0:00,8,0,-0.04,2012,8
394,GrowSpeed,2012/9/24 0:00,8,2,-0.02,2012,9
395,GrowSpeed,2012/10/24 0:00,8,1,-0.06,2012,10
396,GrowSpeed,2012/11/23 0:00,8,8,0.15,2012,11
397,GrowSpeed,2012/12/23 0:00,8,7,0.08,2012,12
398,GrowSpeed,2013/1/22 0:00,9,4,-0.02,2013,1
399,GrowSpeed,2013/2/21 0:00,9,3,-0.06,2013,2
400,GrowSpeed,2013/3/23 0:00,9,3,-0.05,2013,3
401,GrowSpeed,2013/4/22 0:00,9,7,0.03,2013,4
402,GrowSpeed,2013/5/22 0:00,9,1,-0.12,2013,5
403,GrowSpeed,2013/6/21 0:00,9,8,0.08,2013,6
404,GrowSpeed,2013/7/21 0:00,8,3,0.03,2013,7
405,GrowSpeed,2013/8/20 0:00,9,3,0,2013,8
406,GrowSpeed,2013/9/19 0:00,9,0,-0.12,2013,9
407,GrowSpeed,2013/10/19 0:00,9,3,-0.01,2013,10
408,GrowSpeed,2013/11/18 0:00,9,3,0.01,2013,11
409,GrowSpeed,2013/12/18 0:00,9,4,0.03,2013,12
410,GrowSpeed,2014/1/17 0:00,9,5,0.01,2014,1
411,GrowSpeed,2014/2/16 0:00,9,3,0.01,2014,2
412,GrowSpeed,2014/3/18 0:00,9,1,-0.13,2014,3
413,GrowSpeed,2014/4/17 0:00,9,4,-0.04,2014,4
414,GrowSpeed,2014/5/17 0:00,9,7,0.05,2014,5
415,GrowSpeed,2014/6/16 0:00,7,2,-0.04,2014,6
